"booking_no","container_no_raw","carrier","vessel","voyage","origin_port","dest_port","etd","eta","service","status","qty_teu","created_time","notes"
"BK319100","CXDU6592146","MAERSK","KOTA GAYA","1903N","VNSGN","USLAX","2026-01-22 15:56:49","2026-02-05 15:56:49","TP1","BOOKED","5","2025-12-28 15:56:49",""
"BK949220","HLCU2662763","ONE","MSC ISABELLA","6304N","VNSGN","VNHPH","2026-01-23 08:11:14","2026-01-28 08:11:14","TP1","BOOKED","3","2026-01-04 08:11:14",""
"BK696949","MSCU6526379","CMA CGM","MAERSK HANOI","1604N","VNSGN","VNHPH","2025-12-21 09:11:25","2025-12-29 09:11:25","SE3","BOOKED","4","2025-12-09 09:11:25",""
"BK734368","PONU6711465","COSCO","MSC ISABELLA","9004N","VNSGN","CNSHA","2026-01-23 08:59:20","2026-02-13 08:59:20","SE3","LOADED","1","2026-01-14 08:59:20",""
"BK932136","PONU9644939","MSC","SUNNY FREESIA","2803N","VNSGN","SGSIN","2026-01-19 06:11:15","2026-01-27 06:11:15","FE2","LOADED","5","2025-12-24 06:11:15",""
"BK716011","PONU5839647","MSC","EVER GIVEN","9703N","VNSGN","CNSHA","2026-01-18 09:34:03","2026-02-01 09:34:03","FE2","BOOKED","2","2026-01-08 09:34:03",""
"BK106868","PONU4459755","MAERSK","MSC ISABELLA","8101N","VNSGN","USLAX","2026-01-01 14:04:08","2026-01-17 14:04:08","FE2","LOADED","1","2025-12-17 14:04:08",""
"BK401133","CXDU2379601","ONE","SUNNY FREESIA","2804N","VNSGN","SGSIN","2026-01-23 03:21:50","2026-02-19 03:21:50","SE3","BOOKED","1","2026-01-02 03:21:50",""
"BK115011","TCNU2609585","COSCO","MSC ISABELLA","5601N","VNSGN","CNSHA","2026-01-12 11:17:50","2026-01-20 11:17:50","FE2","BOOKED","5","2025-12-14 11:17:50",""
"BK844560","HLCU2831349","ONE","KOTA GAYA","8001N","VNSGN","VNHPH","2026-01-15 12:43:45","2026-01-23 12:43:45","FE2","BOOKED","3","2026-01-01 12:43:45",""
"BK152624","PONU6042736","MAERSK","EVER GIVEN","7105N","VNSGN","USLAX","2026-01-16 10:51:12","2026-01-31 10:51:12","FE2","LOADED","1","2025-12-30 10:51:12",""
"BK436473","PONU4068310","CMA CGM","EVER GIVEN","4104N","VNSGN","SGSIN","2026-01-20 12:39:29","2026-02-01 12:39:29","FE2","CANCELLED","1","2026-01-11 12:39:29",""
"BK187461","HLCU4697748","CMA CGM","MAERSK HANOI","8603N","VNSGN","USLAX","2026-01-20 14:20:08","2026-01-30 14:20:08","FE2","CANCELLED","5","2026-01-07 14:20:08",""
"BK349651","TCNU2711642","MAERSK","SUNNY FREESIA","6604N","VNSGN","USLAX","2026-01-24 14:11:19","2026-02-08 14:11:19","TP1","CANCELLED","4","2026-01-02 14:11:19",""
"BK680536","PONU4486471","MAERSK","MSC ISABELLA","2501N","VNSGN","VNHPH","2026-01-21 13:54:33","2026-02-11 13:54:33","FE2","LOADED","2","2025-12-24 13:54:33",""
"BK983802","CXDU1241974","MAERSK","MSC ISABELLA","9302N","VNSGN","CNSHA","2026-01-23 17:16:25","2026-01-30 17:16:25","TP1","BOOKED","1","2026-01-02 17:16:25",""
"BK572410","HLCU6130485","MAERSK","MAERSK HANOI","2104N","VNSGN","CNSHA","2026-01-24 08:19:24","2026-02-08 08:19:24","FE2","BOOKED","1","2026-01-16 08:19:24",""
"BK120772","MSCU7179821","MAERSK","MAERSK HANOI","4705N","VNSGN","SGSIN","2026-01-15 00:48:14","2026-01-21 00:48:14","TP1","LOADED","3","2026-01-02 00:48:14",""
"BK671995","CXDU3370345","MSC","EVER GIVEN","8301N","VNSGN","USLAX","2026-01-08 13:22:26","2026-01-20 13:22:26","TP1","BOOKED","2","2025-12-13 13:22:26",""
"BK780297","PONU9970269","MSC","MAERSK HANOI","7703N","VNSGN","VNHPH","2026-01-22 21:21:58","2026-02-09 21:21:58","SE3","CANCELLED","3","2025-12-24 21:21:58",""
"BK635196","PONU6972064","COSCO","KOTA GAYA","5105N","VNSGN","SGSIN","2026-01-17 11:12:30","2026-02-01 11:12:30","SE3","BOOKED","4","2026-01-02 11:12:30",""
"BK796694","CXDU1363864","CMA CGM","SUNNY FREESIA","8405N","VNSGN","USLAX","2026-01-02 14:50:46","2026-01-08 14:50:46","TP1","CANCELLED","3","2025-12-05 14:50:46",""
"BK784599","MSCU1659176","ONE","SUNNY FREESIA","8702N","VNSGN","USLAX","2026-01-24 15:11:26","2026-02-07 15:11:26","TP1","LOADED","5","2026-01-02 15:11:26",""
"BK343467","CXDU2442379","COSCO","SUNNY FREESIA","8502N","VNSGN","USLAX","2026-01-20 08:23:28","2026-01-25 08:23:28","SE3","LOADED","4","2025-12-21 08:23:28",""
"BK801695","PONU7561982","COSCO","MAERSK HANOI","1605N","VNSGN","SGSIN","2025-12-04 16:25:16","2025-12-09 16:25:16","TP1","LOADED","4","2025-11-15 16:25:16",""
"BK285446","TCNU6881007","CMA CGM","MSC ISABELLA","4701N","VNSGN","USLAX","2026-01-18 23:23:27","2026-02-01 23:23:27","FE2","CANCELLED","4","2025-12-27 23:23:27",""
"BK837236","PONU7589789","MAERSK","MAERSK HANOI","7904N","VNSGN","CNSHA","2026-01-14 12:05:25","2026-02-03 12:05:25","TP1","LOADED","5","2025-12-27 12:05:25",""
"BK766819","TCNU7144726","MSC","MSC ISABELLA","6601N","VNSGN","USLAX","2026-01-19 20:28:49","2026-02-15 20:28:49","TP1","BOOKED","2","2025-12-23 20:28:49",""
"BK554076","HLCU4146293","COSCO","MSC ISABELLA","1104N","VNSGN","VNHPH","2026-01-24 08:47:16","2026-02-19 08:47:16","SE3","CANCELLED","4","2026-01-01 08:47:16",""
"BK693527","MSCU5427248","COSCO","KOTA GAYA","2004N","VNSGN","VNHPH","2026-01-15 11:43:40","2026-01-21 11:43:40","FE2","LOADED","4","2026-01-06 11:43:40",""
"BK871220","TCNU2880580","CMA CGM","MAERSK HANOI","6803N","VNSGN","USLAX","2026-01-09 13:26:28","2026-01-30 13:26:28","TP1","LOADED","1","2026-01-01 13:26:28",""
"BK795746","MSCU1125256","MSC","MAERSK HANOI","7402N","VNSGN","USLAX","2026-01-17 17:37:40","2026-01-22 17:37:40","FE2","CANCELLED","1","2026-01-03 17:37:40",""
"BK673211","MSCU4006214","COSCO","MSC ISABELLA","5105N","VNSGN","SGSIN","2026-01-15 12:17:33","2026-01-25 12:17:33","TP1","LOADED","5","2026-01-03 12:17:33",""
"BK311180","CXDU7579204","CMA CGM","MSC ISABELLA","9805N","VNSGN","SGSIN","2025-12-18 15:51:02","2026-01-13 15:51:02","TP1","LOADED","5","2025-12-02 15:51:02",""
"BK270806","HLCU2267161","CMA CGM","KOTA GAYA","2902N","VNSGN","CNSHA","2026-01-15 00:59:35","2026-01-20 00:59:35","SE3","LOADED","2","2025-12-28 00:59:35",""
"BK685881","MSCU7448981","MSC","MAERSK HANOI","6202N","VNSGN","USLAX","2026-01-20 16:42:17","2026-02-10 16:42:17","SE3","CANCELLED","4","2025-12-23 16:42:17",""
"BK215868","HLCU8210610","MSC","SUNNY FREESIA","4705N","VNSGN","USLAX","2026-01-20 14:40:46","2026-02-01 14:40:46","FE2","CANCELLED","3","2026-01-08 14:40:46",""
"BK847819","PONU8605143","MAERSK","MSC ISABELLA","5501N","VNSGN","CNSHA","2026-01-19 06:44:32","2026-02-10 06:44:32","TP1","CANCELLED","2","2025-12-21 06:44:32",""
"BK586827","MSCU7182841","MSC","EVER GIVEN","2103N","VNSGN","USLAX","2026-01-16 17:54:19","2026-02-10 17:54:19","TP1","BOOKED","1","2026-01-06 17:54:19",""
"BK992977","HLCU5078268","COSCO","SUNNY FREESIA","2805N","VNSGN","CNSHA","2026-01-21 11:10:24","2026-02-10 11:10:24","TP1","LOADED","2","2026-01-02 11:10:24",""
"BK587819","MSCU7796113","CMA CGM","SUNNY FREESIA","9903N","VNSGN","SGSIN","2026-01-21 08:55:33","2026-02-09 08:55:33","SE3","CANCELLED","2","2025-12-29 08:55:33",""
"BK173728","MSCU4217575","CMA CGM","EVER GIVEN","8901N","VNSGN","USLAX","2026-01-22 12:42:27","2026-01-29 12:42:27","FE2","CANCELLED","3","2025-12-30 12:42:27",""
"BK934439","CXDU6445292","MSC","EVER GIVEN","5505N","VNSGN","SGSIN","2026-01-21 13:54:16","2026-02-01 13:54:16","TP1","BOOKED","2","2026-01-03 13:54:16",""
"BK316236","TCNU8175719","ONE","EVER GIVEN","6505N","VNSGN","CNSHA","2025-12-23 16:18:59","2026-01-18 16:18:59","SE3","LOADED","4","2025-12-03 16:18:59",""
"BK641176","HLCU8443392","MSC","MAERSK HANOI","1205N","VNSGN","CNSHA","2026-01-17 14:06:53","2026-01-31 14:06:53","FE2","BOOKED","3","2026-01-08 14:06:53",""
"BK637467","HLCU5257270","CMA CGM","SUNNY FREESIA","7401N","VNSGN","USLAX","2026-01-24 08:56:31","2026-02-10 08:56:31","TP1","LOADED","5","2026-01-15 08:56:31",""
"BK725262","TCNU5985565","ONE","KOTA GAYA","7802N","VNSGN","CNSHA","2026-01-17 13:16:04","2026-02-01 13:16:04","TP1","LOADED","3","2025-12-19 13:16:04",""
"BK360206","TCNU8800816","CMA CGM","EVER GIVEN","4204N","VNSGN","VNHPH","2026-01-19 17:03:23","2026-02-01 17:03:23","TP1","LOADED","3","2026-01-10 17:03:23",""
"BK337282","CXDU1965929","COSCO","EVER GIVEN","5603N","VNSGN","USLAX","2026-01-16 10:36:48","2026-02-08 10:36:48","SE3","CANCELLED","1","2026-01-04 10:36:48",""
"BK843982","CXDU9508897","COSCO","SUNNY FREESIA","9603N","VNSGN","SGSIN","2026-01-19 17:10:41","2026-01-27 17:10:41","SE3","BOOKED","1","2026-01-09 17:10:41",""
"BK592985","MSCU3044784","COSCO","MAERSK HANOI","3501N","VNSGN","USLAX","2026-01-18 14:17:26","2026-02-10 14:17:26","SE3","LOADED","3","2025-12-30 14:17:26",""
"BK280048","HLCU9906774","COSCO","MAERSK HANOI","5801N","VNSGN","USLAX","2026-01-22 16:11:40","2026-02-13 16:11:40","FE2","LOADED","5","2026-01-03 16:11:40",""
"BK439603","HLCU4353616","CMA CGM","EVER GIVEN","4905N","VNSGN","USLAX","2026-01-21 11:57:46","2026-02-16 11:57:46","TP1","BOOKED","4","2026-01-10 11:57:46",""
"BK365714","CXDU9607750","MAERSK","MSC ISABELLA","1905N","VNSGN","USLAX","2026-01-16 16:23:12","2026-01-23 16:23:12","TP1","LOADED","2","2025-12-31 16:23:12",""
"BK819324","MSCU7136119","COSCO","KOTA GAYA","3103N","VNSGN","VNHPH","2026-01-19 08:43:29","2026-01-31 08:43:29","TP1","LOADED","5","2025-12-31 08:43:29",""
"BK536616","HLCU5384239","COSCO","KOTA GAYA","6603N","VNSGN","CNSHA","2025-12-25 03:09:16","2026-01-19 03:09:16","SE3","LOADED","3","2025-12-15 03:09:16",""
"BK105282","TCNU6691342","CMA CGM","MSC ISABELLA","1404N","VNSGN","SGSIN","2026-01-15 01:27:48","2026-02-14 01:27:48","SE3","CANCELLED","1","2026-01-04 01:27:48",""
"BK304797","PONU1623496","MAERSK","MAERSK HANOI","3603N","VNSGN","USLAX","2026-01-16 15:38:37","2026-02-08 15:38:37","SE3","CANCELLED","5","2025-12-28 15:38:37",""
"BK208833","PONU3551435","MSC","SUNNY FREESIA","8505N","VNSGN","CNSHA","2026-01-14 02:21:14","2026-01-27 02:21:14","SE3","CANCELLED","1","2025-12-19 02:21:14",""
"BK325278","HLCU5066747","COSCO","KOTA GAYA","5003N","VNSGN","SGSIN","2026-01-24 20:47:32","2026-02-23 20:47:32","SE3","LOADED","2","2026-01-11 20:47:32",""
"BK884807","HLCU7747600","CMA CGM","EVER GIVEN","7301N","VNSGN","SGSIN","2026-01-21 09:14:04","2026-01-31 09:14:04","FE2","CANCELLED","1","2025-12-30 09:14:04",""
"BK246996","HLCU6343266","MAERSK","EVER GIVEN","7001N","VNSGN","VNHPH","2026-01-22 15:48:20","2026-02-07 15:48:20","FE2","LOADED","4","2026-01-14 15:48:20",""
"BK878190","TCNU8601656","MSC","MAERSK HANOI","1202N","VNSGN","SGSIN","2026-01-19 15:27:36","2026-02-11 15:27:36","FE2","BOOKED","5","2025-12-25 15:27:36",""
"BK218300","CXDU9597982","CMA CGM","KOTA GAYA","2805N","VNSGN","CNSHA","2026-01-18 13:07:40","2026-02-15 13:07:40","FE2","CANCELLED","1","2025-12-27 13:07:40",""
"BK427962","HLCU9449708","MAERSK","KOTA GAYA","8803N","VNSGN","VNHPH","2026-01-16 06:31:54","2026-02-09 06:31:54","FE2","CANCELLED","1","2025-12-29 06:31:54",""
"BK487458","CXDU7927584","COSCO","KOTA GAYA","7304N","VNSGN","USLAX","2026-01-15 12:10:05","2026-02-09 12:10:05","SE3","CANCELLED","3","2025-12-25 12:10:05",""
"BK320854","CXDU4236751","CMA CGM","MAERSK HANOI","1702N","VNSGN","SGSIN","2026-01-21 05:10:02","2026-01-30 05:10:02","TP1","BOOKED","2","2026-01-14 05:10:02",""
"BK251746","CXDU2555971","COSCO","MAERSK HANOI","7504N","VNSGN","VNHPH","2026-01-15 22:27:27","2026-01-30 22:27:27","SE3","CANCELLED","1","2026-01-06 22:27:27",""
"BK445998","HLCU9603659","MAERSK","EVER GIVEN","2702N","VNSGN","USLAX","2025-11-27 12:03:08","2025-12-12 12:03:08","TP1","BOOKED","2","2025-11-13 12:03:08",""
"BK737273","HLCU4772922","COSCO","MAERSK HANOI","5701N","VNSGN","VNHPH","2026-01-18 12:56:53","2026-02-08 12:56:53","TP1","LOADED","4","2025-12-27 12:56:53",""
"BK151239","CXDU9630296","COSCO","MAERSK HANOI","1201N","VNSGN","VNHPH","2026-01-24 20:08:52","2026-02-05 20:08:52","TP1","LOADED","4","2026-01-12 20:08:52",""
"BK616009","PONU9956414","MSC","MSC ISABELLA","5002N","VNSGN","CNSHA","2026-01-22 11:23:58","2026-02-21 11:23:58","SE3","LOADED","3","2025-12-28 11:23:58",""
"BK102952","HLCU8105930","MSC","MAERSK HANOI","1701N","VNSGN","VNHPH","2026-01-13 09:40:13","2026-01-30 09:40:13","TP1","CANCELLED","1","2025-12-15 09:40:13",""
"BK537219","PONU9152120","ONE","MAERSK HANOI","6603N","VNSGN","USLAX","2026-01-20 15:05:09","2026-02-04 15:05:09","SE3","LOADED","3","2025-12-26 15:05:09",""
"BK757362","MSCU4395005","COSCO","KOTA GAYA","7303N","VNSGN","CNSHA","2025-12-30 03:21:37","2026-01-12 03:21:37","SE3","CANCELLED","1","2025-12-11 03:21:37",""
"BK360825","CXDU2321041","ONE","EVER GIVEN","6604N","VNSGN","SGSIN","2025-12-15 07:15:58","2026-01-12 07:15:58","FE2","LOADED","4","2025-11-16 07:15:58",""
"BK906768","MSCU2662968","CMA CGM","EVER GIVEN","4701N","VNSGN","SGSIN","2025-12-23 13:05:50","2026-01-15 13:05:50","TP1","CANCELLED","4","2025-12-11 13:05:50",""
"BK503903","HLCU7482856","COSCO","MAERSK HANOI","8104N","VNSGN","VNHPH","2026-01-15 16:59:06","2026-01-20 16:59:06","TP1","BOOKED","5","2026-01-03 16:59:06",""
"BK573276","HLCU5493320","ONE","MAERSK HANOI","6902N","VNSGN","CNSHA","2026-01-22 11:02:50","2026-02-18 11:02:50","FE2","BOOKED","1","2026-01-12 11:02:50",""
"BK287208","CXDU4613493","CMA CGM","MSC ISABELLA","2502N","VNSGN","SGSIN","2026-01-18 11:07:02","2026-02-05 11:07:02","FE2","BOOKED","1","2025-12-27 11:07:02",""
"BK298133","MSCU9947892","MAERSK","KOTA GAYA","5602N","VNSGN","SGSIN","2026-01-25 10:07:12","2026-02-11 10:07:12","TP1","BOOKED","3","2026-01-06 10:07:12",""
"BK459308","HLCU7816636","ONE","MSC ISABELLA","2501N","VNSGN","CNSHA","2026-01-20 17:13:18","2026-01-31 17:13:18","FE2","BOOKED","5","2025-12-23 17:13:18",""
"BK753681","MSCU9630493","ONE","MSC ISABELLA","5903N","VNSGN","VNHPH","2026-01-14 17:26:37","2026-01-31 17:26:37","TP1","CANCELLED","4","2025-12-16 17:26:37",""
"BK396818","PONU3816867","MAERSK","EVER GIVEN","1402N","VNSGN","VNHPH","2025-12-29 09:15:39","2026-01-07 09:15:39","FE2","BOOKED","2","2025-12-02 09:15:39",""
"BK225048","PONU4531780","COSCO","MAERSK HANOI","8005N","VNSGN","USLAX","2026-01-22 01:10:29","2026-02-09 01:10:29","FE2","CANCELLED","3","2025-12-26 01:10:29",""
"BK621800","TCNU1698984","CMA CGM","KOTA GAYA","5905N","VNSGN","SGSIN","2026-01-20 17:16:05","2026-02-05 17:16:05","TP1","LOADED","3","2026-01-02 17:16:05",""
"BK721733","CXDU8485318","ONE","SUNNY FREESIA","7302N","VNSGN","USLAX","2026-01-25 12:39:17","2026-02-04 12:39:17","FE2","LOADED","3","2026-01-16 12:39:17",""
"BK255176","TCNU1018670","CMA CGM","KOTA GAYA","7603N","VNSGN","VNHPH","2026-01-21 16:58:47","2026-02-20 16:58:47","SE3","BOOKED","3","2025-12-30 16:58:47",""
"BK555162","CXDU5077805","CMA CGM","SUNNY FREESIA","4604N","VNSGN","SGSIN","2025-12-11 14:52:14","2025-12-20 14:52:14","FE2","CANCELLED","3","2025-12-01 14:52:14",""
"BK975585","HLCU3872579","MSC","KOTA GAYA","5204N","VNSGN","CNSHA","2026-01-07 15:41:45","2026-01-30 15:41:45","TP1","CANCELLED","3","2025-12-13 15:41:45",""
"BK492484","MSCU9130641","MAERSK","SUNNY FREESIA","2303N","VNSGN","CNSHA","2026-01-19 12:32:22","2026-01-27 12:32:22","FE2","BOOKED","5","2025-12-26 12:32:22",""
"BK923322","HLCU4907849","MAERSK","MSC ISABELLA","7505N","VNSGN","USLAX","2026-01-17 13:55:03","2026-02-11 13:55:03","FE2","BOOKED","5","2025-12-24 13:55:03",""
"BK777512","MSCU4512863","MSC","MSC ISABELLA","6802N","VNSGN","SGSIN","2025-12-11 03:53:19","2026-01-07 03:53:19","TP1","LOADED","2","2025-11-19 03:53:19",""
"BK548720","PONU4466737","ONE","MSC ISABELLA","1202N","VNSGN","VNHPH","2026-01-09 12:03:23","2026-01-24 12:03:23","TP1","CANCELLED","5","2025-12-18 12:03:23",""
"BK138445","MSCU6645555","CMA CGM","EVER GIVEN","3202N","VNSGN","USLAX","2026-01-25 17:28:36","2026-02-08 17:28:36","FE2","BOOKED","4","2025-12-29 17:28:36",""
"BK818326","HLCU4979437","ONE","SUNNY FREESIA","8403N","VNSGN","USLAX","2026-01-21 15:09:39","2026-02-06 15:09:39","FE2","LOADED","4","2026-01-08 15:09:39",""
"BK624536","HLCU2199554","MAERSK","SUNNY FREESIA","1402N","VNSGN","VNHPH","2025-12-22 16:13:21","2026-01-13 16:13:21","FE2","CANCELLED","1","2025-11-22 16:13:21",""
"BK611992","TCNU3749253","ONE","KOTA GAYA","6101N","VNSGN","VNHPH","2026-01-24 17:32:39","2026-02-01 17:32:39","FE2","CANCELLED","3","2026-01-17 17:32:39",""
"BK730831","HLCU7241883","MAERSK","MAERSK HANOI","9302N","VNSGN","USLAX","2026-01-25 16:30:46","2026-02-11 16:30:46","SE3","LOADED","1","2026-01-07 16:30:46",""
"BK812330","PONU9103947","ONE","MAERSK HANOI","3901N","VNSGN","USLAX","2025-12-06 06:04:01","2025-12-13 06:04:01","SE3","LOADED","1","2025-11-06 06:04:01",""
"BK171839","CXDU5827983","COSCO","KOTA GAYA","2704N","VNSGN","VNHPH","2026-01-21 03:35:27","2026-02-09 03:35:27","SE3","LOADED","5","2025-12-27 03:35:27",""
"BK822735","HLCU5706764","CMA CGM","KOTA GAYA","7002N","VNSGN","VNHPH","2026-01-19 14:01:06","2026-02-08 14:01:06","TP1","BOOKED","3","2026-01-07 14:01:06",""
"BK429228","MSCU8896502","COSCO","SUNNY FREESIA","3501N","VNSGN","VNHPH","2026-01-16 16:01:01","2026-02-01 16:01:01","TP1","CANCELLED","4","2025-12-27 16:01:01",""
"BK924499","HLCU1522775","MAERSK","MSC ISABELLA","6504N","VNSGN","VNHPH","2026-01-20 15:06:01","2026-01-31 15:06:01","TP1","BOOKED","2","2025-12-25 15:06:01",""
"BK873647","HLCU9439955","CMA CGM","KOTA GAYA","6905N","VNSGN","VNHPH","2025-11-27 10:06:56","2025-12-17 10:06:56","FE2","CANCELLED","5","2025-11-20 10:06:56",""
"BK105346","HLCU5339722","MAERSK","EVER GIVEN","3102N","VNSGN","CNSHA","2026-01-16 09:56:02","2026-02-02 09:56:02","SE3","BOOKED","3","2026-01-01 09:56:02",""
"BK510128","CXDU3943750","COSCO","SUNNY FREESIA","5501N","VNSGN","VNHPH","2026-01-16 08:06:45","2026-01-23 08:06:45","TP1","BOOKED","3","2025-12-31 08:06:45",""
"BK926064","MSCU8888556","CMA CGM","EVER GIVEN","4601N","VNSGN","CNSHA","2026-01-24 15:34:33","2026-02-21 15:34:33","SE3","CANCELLED","1","2026-01-03 15:34:33",""
"BK165681","TCNU3515115","MAERSK","KOTA GAYA","9705N","VNSGN","USLAX","2026-01-03 10:22:42","2026-01-21 10:22:42","FE2","LOADED","1","2025-12-19 10:22:42",""
"BK795924","PONU4564271","ONE","MAERSK HANOI","5301N","VNSGN","CNSHA","2026-01-20 10:25:54","2026-01-30 10:25:54","FE2","BOOKED","1","2026-01-06 10:25:54",""
"BK803624","HLCU8817353","MSC","MAERSK HANOI","6305N","VNSGN","USLAX","2025-12-17 08:33:00","2026-01-16 08:33:00","TP1","LOADED","3","2025-11-30 08:33:00",""
"BK305135","PONU5167075","MAERSK","KOTA GAYA","5903N","VNSGN","SGSIN","2026-01-20 20:30:31","2026-02-11 20:30:31","FE2","CANCELLED","1","2025-12-26 20:30:31",""
"BK210291","TCNU8848343","MSC","SUNNY FREESIA","5403N","VNSGN","CNSHA","2026-01-23 06:02:04","2026-02-12 06:02:04","FE2","BOOKED","3","2025-12-26 06:02:04",""
"BK269457","HLCU5155589","MAERSK","MSC ISABELLA","6503N","VNSGN","USLAX","2026-01-19 10:48:52","2026-01-24 10:48:52","TP1","LOADED","4","2025-12-21 10:48:52",""
"BK185202","TCNU5700715","MAERSK","KOTA GAYA","5005N","VNSGN","USLAX","2026-01-05 12:53:23","2026-01-13 12:53:23","TP1","LOADED","4","2025-12-15 12:53:23",""
"BK721022","MSCU2418913","ONE","MAERSK HANOI","6303N","VNSGN","CNSHA","2025-12-16 08:21:51","2025-12-30 08:21:51","FE2","BOOKED","2","2025-11-28 08:21:51",""
"BK988713","HLCU9854561","ONE","EVER GIVEN","2001N","VNSGN","USLAX","2026-01-15 08:47:14","2026-01-27 08:47:14","FE2","LOADED","1","2025-12-18 08:47:14",""
"BK250866","HLCU8788576","ONE","MAERSK HANOI","1904N","VNSGN","USLAX","2026-01-14 16:24:52","2026-02-02 16:24:52","SE3","LOADED","2","2026-01-02 16:24:52",""
"BK730714","MSCU9880486","CMA CGM","MAERSK HANOI","4205N","VNSGN","SGSIN","2026-01-18 08:13:19","2026-02-13 08:13:19","TP1","BOOKED","3","2025-12-29 08:13:19",""
"BK670916","PONU1887366","MSC","MAERSK HANOI","3501N","VNSGN","VNHPH","2026-01-22 14:13:31","2026-01-31 14:13:31","TP1","CANCELLED","1","2025-12-25 14:13:31",""
"BK895705","TCNU2624115","MSC","EVER GIVEN","3601N","VNSGN","SGSIN","2026-01-21 00:34:01","2026-01-30 00:34:01","FE2","CANCELLED","2","2025-12-31 00:34:01",""
"BK573411","PONU5797512","CMA CGM","EVER GIVEN","3603N","VNSGN","CNSHA","2025-12-17 17:49:51","2026-01-12 17:49:51","SE3","LOADED","5","2025-12-04 17:49:51",""
"BK165645","CXDU4151034","MSC","SUNNY FREESIA","2703N","VNSGN","CNSHA","2026-01-22 06:30:05","2026-02-15 06:30:05","SE3","LOADED","2","2026-01-07 06:30:05",""
"BK909640","MSCU5163256","CMA CGM","MSC ISABELLA","8302N","VNSGN","USLAX","2026-01-16 13:25:16","2026-01-26 13:25:16","FE2","LOADED","4","2025-12-20 13:25:16",""
"BK264239","MSCU3272214","COSCO","MAERSK HANOI","3702N","VNSGN","VNHPH","2026-01-18 01:42:00","2026-01-27 01:42:00","SE3","CANCELLED","4","2026-01-02 01:42:00",""
"BK430757","PONU1698909","ONE","EVER GIVEN","7801N","VNSGN","SGSIN","2026-01-15 13:20:46","2026-02-07 13:20:46","FE2","CANCELLED","3","2025-12-30 13:20:46",""
"BK171268","TCNU2986189","MSC","EVER GIVEN","7704N","VNSGN","VNHPH","2025-12-09 12:40:58","2025-12-30 12:40:58","SE3","BOOKED","4","2025-11-28 12:40:58",""
"BK566653","MSCU8035066","COSCO","SUNNY FREESIA","4504N","VNSGN","CNSHA","2025-12-13 10:15:19","2026-01-11 10:15:19","FE2","CANCELLED","1","2025-12-04 10:15:19",""
"BK616655","HLCU7684992","ONE","MAERSK HANOI","8205N","VNSGN","CNSHA","2026-01-19 10:46:18","2026-02-17 10:46:18","TP1","BOOKED","5","2025-12-29 10:46:18",""
"BK903520","CXDU4932916","MSC","MAERSK HANOI","8402N","VNSGN","CNSHA","2026-01-21 13:51:58","2026-02-05 13:51:58","SE3","BOOKED","5","2026-01-12 13:51:58",""
"BK854108","MSCU5274723","COSCO","MAERSK HANOI","9105N","VNSGN","VNHPH","2026-01-14 10:00:23","2026-01-21 10:00:23","TP1","LOADED","2","2025-12-19 10:00:23",""
"BK700917","CXDU6073967","CMA CGM","SUNNY FREESIA","1205N","VNSGN","SGSIN","2026-01-18 07:03:35","2026-01-24 07:03:35","TP1","CANCELLED","2","2025-12-31 07:03:35",""
"BK953331","PONU8150221","MAERSK","SUNNY FREESIA","2402N","VNSGN","CNSHA","2026-01-16 09:19:06","2026-01-22 09:19:06","TP1","LOADED","4","2026-01-07 09:19:06",""
"BK825922","CXDU1086236","COSCO","SUNNY FREESIA","7703N","VNSGN","VNHPH","2026-01-19 17:06:59","2026-02-13 17:06:59","SE3","CANCELLED","2","2026-01-06 17:06:59",""
"BK984585","MSCU6092669","COSCO","EVER GIVEN","2304N","VNSGN","CNSHA","2026-01-16 08:07:38","2026-01-24 08:07:38","TP1","LOADED","5","2025-12-22 08:07:38",""
"BK140684","HLCU4164114","ONE","KOTA GAYA","4202N","VNSGN","CNSHA","2026-01-17 08:15:18","2026-01-22 08:15:18","FE2","LOADED","5","2025-12-26 08:15:18",""
"BK368039","PONU3088649","CMA CGM","MAERSK HANOI","6403N","VNSGN","SGSIN","2026-01-02 16:20:29","2026-01-08 16:20:29","SE3","CANCELLED","5","2025-12-11 16:20:29",""
"BK417989","CXDU4894378","COSCO","KOTA GAYA","2802N","VNSGN","SGSIN","2025-12-31 13:14:03","2026-01-15 13:14:03","SE3","BOOKED","1","2025-12-08 13:14:03",""
"BK208687","TCNU5050098","MAERSK","MSC ISABELLA","3005N","VNSGN","SGSIN","2026-01-16 17:47:49","2026-02-07 17:47:49","SE3","CANCELLED","4","2025-12-20 17:47:49",""
"BK678849","HLCU3578726","MSC","KOTA GAYA","5102N","VNSGN","USLAX","2026-01-17 09:45:31","2026-02-09 09:45:31","SE3","BOOKED","1","2026-01-02 09:45:31",""
"BK483331","MSCU8275891","COSCO","KOTA GAYA","1303N","VNSGN","USLAX","2026-01-22 08:05:54","2026-02-17 08:05:54","SE3","CANCELLED","3","2025-12-30 08:05:54",""
"BK157843","TCNU2415882","MSC","MAERSK HANOI","7104N","VNSGN","SGSIN","2026-01-16 10:47:42","2026-02-15 10:47:42","TP1","CANCELLED","4","2025-12-29 10:47:42",""
